127.0.0.1 - - [02/Apr/2018:22:41:07 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:07 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:07 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:07 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:08 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:11 +0900] "POST /semi/login HTTP/1.1" 302 -
127.0.0.1 - - [02/Apr/2018:22:41:11 +0900] "GET /semi/views/member/memberError.jsp HTTP/1.1" 200 266
127.0.0.1 - - [02/Apr/2018:22:41:12 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:12 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:12 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:13 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:13 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:13 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:13 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:13 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:13 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:13 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:14 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:14 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:14 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:14 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:14 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:14 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:14 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:15 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:15 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:15 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:15 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:15 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:15 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:18 +0900] "POST /semi/login HTTP/1.1" 302 -
127.0.0.1 - - [02/Apr/2018:22:41:18 +0900] "GET /semi/views/member/memberError.jsp HTTP/1.1" 200 266
127.0.0.1 - - [02/Apr/2018:22:41:19 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:19 +0900] "GET /semi/introbest HTTP/1.1" 200 698
